Id,latitude,longitude,descRegion,descCountry,descAdmin1,descLocality,descQuality,observationDate,obsdate_amer,reportDate,status,descDisease,descDiseaseType,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,sumVaccinated
132408,30.53194,31.25167,Africa,Egypt,Al Gharbiyah (gharbia),Isunit Village (Kafr Shokr district),Unknown,10/05/2009,10-May-2009,10/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,4000,,4000,,
132410,30.214808,31.122211,Africa,Egypt,Al Qalyubiyah (kalyoubia),Abu Elgheit village (Alkanater Alkhairia district),Unknown,11/05/2009,11-May-2009,11/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,duck,",,1000,,1000,,
132549,30.8283653,31.0795479,Africa,Egypt,Al Gharbiyah (gharbia),Al Gharbiyah (gharbia),Unknown,12/05/2009,12-May-2009,22/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132403,26.82944,31.7,Africa,Egypt,Al Bahr/al Ahmar (redsea),"Om Doma village (Tama, Sohag)",Unknown,12/05/2009,12-May-2009,13/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,unspecified bird,",,51,,,,
132570,26.49332,31.86609,Africa,Egypt,Suhaj,Om Doma Village (Tema district),Unknown,12/05/2009,12-May-2009,13/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,duck,Domestic,chicken,",,51,,51,,
132401,31.01667,31.1333,Africa,Egypt,Al Gharbiyah (gharbia),Senedis Village (Mehala Kobra),Unknown,12/05/2009,12-May-2009,13/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,duck,",,5,,,,
132402,29.825055,31.237321,Africa,Egypt,Al Jizah (giza),"kom El hawa village (El Badrashin, 6 October)",Unknown,12/05/2009,12-May-2009,13/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,15000,,,,
132540,30.792576,29.780677,Africa,Egypt,Al Iskandariyah (alex.),Abeis village (Alsabaheia district),Unknown,12/05/2009,12-May-2009,13/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,100000,,100000,,
132541,30.32448,31.2488,Africa,Egypt,Al Qalyubiyah (kalyoubia),Kafr Alwalga village (Kafr Shokr district),Unknown,13/05/2009,13-May-2009,14/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,10000,,10000,,
132571,30.85,31.7,Africa,Egypt,Ash Sharqiyah (sharkia),Abo Omran village (Kafr Sakr),Unknown,15/05/2009,15-May-2009,17/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,Domestic,duck,",,10,,10,,
132552,26.4933167,31.866087,Africa,Egypt,Suhaj,Suhaj,Unknown,17/05/2009,17-May-2009,22/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132551,31.1693077,31.6939354,Africa,Egypt,Al Daqahliyah (dakahlia),Al Daqahliyah (dakahlia),Unknown,18/05/2009,18-May-2009,22/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132572,30.44722,31.23139,Africa,Egypt,Al Qalyubiyah (kalyoubia),Nuqbas village (Banha district),Unknown,18/05/2009,18-May-2009,18/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,4000,,4000,,
132573,31.235282,32.3284,Africa,Egypt,Bur Said (port Said),Elasher village (Port Said district),Unknown,20/05/2009,20-May-2009,21/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,Domestic,duck,",,,,,,
132574,26.51667,31.76667,Africa,Egypt,Suhaj,Rawafeâ€™ Elkosseir (Sohag district),Unknown,20/05/2009,20-May-2009,21/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,Domestic,duck,",,22,,22,,
132575,29.991164,31.147486,Africa,Egypt,Al Jizah (giza),"Taawen,(Giza city) (Haram )",Unknown,21/05/2009,21-May-2009,21/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,Domestic,duck,",,41,30,41,,
132586,31.0270634,32.0510521,Africa,Egypt,Ash Sharqiyah (sharkia),Ash Sharqiyah (sharkia),Unknown,23/05/2009,23-May-2009,28/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132585,31.0270634,32.0510521,Africa,Egypt,Ash Sharqiyah (sharkia),Ash Sharqiyah (sharkia),Unknown,24/05/2009,24-May-2009,28/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132583,31.1693077,31.6939354,Africa,Egypt,Al Daqahliyah (dakahlia),Al Daqahliyah (dakahlia),Unknown,25/05/2009,25-May-2009,01/06/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132581,30.324482,31.2487984,Africa,Egypt,Al Qalyubiyah (kalyoubia),Al Qalyubiyah (kalyoubia),Unknown,26/05/2009,26-May-2009,01/06/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,6000,,,,
132582,30.324482,31.2487984,Africa,Egypt,Al Qalyubiyah (kalyoubia),Al Qalyubiyah (kalyoubia),Unknown,28/05/2009,28-May-2009,01/06/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,4000,,,,
132584,31.4378567,30.8586903,Africa,Egypt,Kafr-el-sheikh,Kafr-el-sheikh,Unknown,30/05/2009,30-May-2009,01/06/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
158993,31.3581690667,31.7150010065,Africa,Egypt,Dumyat (damietta),Dumyat (damietta),Centroid Admin1,01/06/2009,1-Jun-2009,01/07/2010,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132598,30.771506,31.102173,Africa,Egypt,Al Gharbiyah (gharbia),Elmonshaa (ELsanta district ),Unknown,02/06/2009,2-Jun-2009,07/06/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,duck,",,7,,7,,
132592,30.360758,31.371089,Africa,Egypt,Ash Sharqiyah (sharkia),Unknown (Mashtoul district),Unknown,02/06/2009,2-Jun-2009,03/06/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,400,,400,,
132593,30.38694,31.26111,Africa,Egypt,Al Qalyubiyah (kalyoubia),Mit kenana village (Toukh district),Unknown,02/06/2009,2-Jun-2009,03/06/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,5000,,5000,,
